Longitude,Latitude,FID,ObjectID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG
16.5590013685,59.6169989755,1888,1447,Vasteras,SWE-VSM,Vastmanlands,SW,Sweden,Provincial capital,107194,5,"100,000 to 249,999",25395,0
132.4450083599,34.3780020499,1889,1940,Hiroshima,JPN-CGK,Chugoku,JA,Japan,Provincial capital,62370,6,"50,000 to 99,999",61650,0
132.774993367,33.8349960513,1890,1941,Matsuyama,JPN-SHK,Shikoku,JA,Japan,Provincial capital,-999,7,"Less than 50,000",62030,0
13.5109983959,59.388003019,1891,1448,Karlstad,SWE-VRM,Varmlands,SW,Sweden,Provincial capital,59266,6,"50,000 to 99,999",0,0
15.2289994371,59.2800029222,1892,1449,Orebro,SWE-ORB,Orebro,SW,Sweden,Provincial capital,98573,6,"50,000 to 99,999",0,1
13.8279964109,58.7050019821,1893,1450,Mariestad,SWE-SKR,Skaraborgs,SW,Sweden,Provincial capital,14891,7,"Less than 50,000",0,0
103.3430044196,21.7400039206,1894,1942,Luan Chau,VNM-LCH,Lai Chau,VM,Vietnam,Provincial capital,-999,7,"Less than 50,000",0,0
12.3300004334,58.3630020339,1895,1451,Vannersborg,SWE-ALV,Alvsborgs,SW,Sweden,Provincial capital,-999,7,"Less than 50,000",0,0
102.0999964204,21.6833039235,1896,1943,Phongsali,LAO-PHN,Phongsali,LA,Laos,Provincial capital,-999,7,"Less than 50,000",0,1
11.7929973546,57.7410030727,1897,1452,Goteborg,SWE-GOB,Goteborgs Och Bohus,SW,Sweden,Provincial capital,515252,3,"500,000 to 999,999",24020,0
103.9100043903,21.3280020679,1898,1944,Son La,VNM-SLA,Son La,VM,Vietnam,Provincial capital,19054,7,"Less than 50,000",0,1
12.8549973417,56.6620019564,1899,1453,Halmstad,SWE-HLL,Hallands,SW,Sweden,Provincial capital,55657,6,"50,000 to 99,999",24050,0
22.220001412,65.5790040313,1900,1454,Lulea,SWE-NRR,Norrbottens,SW,Sweden,Provincial capital,45551,7,"Less than 50,000",27220,0
101.4166983402,20.9500019771,1901,1945,Louang Namtha,LAO-LNM,Louang Namtha,LA,Laos,Provincial capital,3225,7,"Less than 50,000",0,1
104.0333044443,20.4166979545,1902,1946,Xam Nua,LAO-HPH,Houaphan,LA,Laos,Provincial capital,38992,7,"Less than 50,000",0,0
20.2519984151,63.8240039881,1903,1455,Umea,SWE-VST,Vasterbottens,SW,Sweden,Provincial capital,74005,6,"50,000 to 99,999",26890,0
21.6090003293,63.0939959939,1904,1456,Vaasa,FIN-VAA,Vaasa,FI,Finland,Provincial capital,-999,7,"Less than 50,000",27650,1
102.1419993172,19.8839969544,1905,1947,Louangphrabang,LAO-LNG,Louangphrabang,LA,Laos,Provincial capital,47378,7,"Less than 50,000",0,1
17.9340034367,62.6339969297,1906,1457,Harnosand,SWE-VSR,Vasternorrlands,SW,Sweden,Provincial capital,17016,7,"Less than 50,000",26240,0
130.9332964348,33.9499979273,1907,1948,Shimonoseki,JPN-CGK,Chugoku,JA,Japan,Other,245786,5,"100,000 to 249,999",61700,0
17.1829983794,60.6789989626,1908,1458,Gavle,SWE-GVL,Gavleborgs,SW,Sweden,Provincial capital,68635,6,"50,000 to 99,999",25590,0
96.084000335,21.9760019871,1909,1949,Mandalay,MMR-MND,Mandalay,BM,Myanmar,Provincial capital,1208099,2,"1,000,000 to 4,999,999",0,1
95.961996349,21.879998959,1910,1950,Sagaing,MMR-SGN,Sagaing,BM,Myanmar,Provincial capital,78739,6,"50,000 to 99,999",0,1
22.2589982982,60.4490039813,1911,1459,Turku,FIN-TJP,Turku Ja Pori,FI,Finland,Provincial capital,175945,5,"100,000 to 249,999",27820,0
97.0380003907,20.7819989948,1912,1951,Taunggyi,MMR-SST,Shan State,BM,Myanmar,Provincial capital,160115,5,"100,000 to 249,999",0,0
19.9490042892,60.0969960779,1913,1460,Mariehamn,FIN-AHR,Ahvenanmaa,FI,Finland,Provincial capital,10682,7,"Less than 50,000",27920,0
17.6470023136,59.8539960668,1914,1461,Uppsala,SWE-UPP,Uppsala,SW,Sweden,Provincial capital,127734,5,"100,000 to 249,999",0,1
99.8330043331,19.9060019785,1915,1952,Chang Rai,THA-CRA,Chiang Rai,TH,Thailand,Provincial capital,78756,6,"50,000 to 99,999",0,0
97.206003373,19.6650000171,1916,1953,Loikaw,MMR-KSE,Kayah State,BM,Myanmar,Provincial capital,17293,7,"Less than 50,000",0,0
17.0150043332,58.763997072,1917,1462,Nykoping,SWE-SDR,Sodermanlands,SW,Sweden,Provincial capital,27582,7,"Less than 50,000",25290,0
97.9689963976,19.301003981,1918,1954,Mae Hong Son,THA-MHS,Mae Hong Son,TH,Thailand,Provincial capital,9109,7,"Less than 50,000",0,1
96.4980004029,17.3279969237,1920,1955,Pegu,MMR-PEG,Pegu,BM,Myanmar,Provincial capital,244376,5,"100,000 to 249,999",0,1
99.1770034445,10.4930010278,1921,1956,Chumphon,THA-CHM,Chumphon,TH,Thailand,Provincial capital,55835,6,"50,000 to 99,999",0,1
17.991450427,59.3311679873,1922,1464,Stockholm,SWE-STC,Stockholms,SW,Sweden,National and provincial capital,1253309,2,"1,000,000 to 4,999,999",25380,0
98.638002316,9.9620010342,1923,1957,Ranong,THA-RNN,Ranong,TH,Thailand,Provincial capital,24561,7,"Less than 50,000",0,1
15.8120013467,50.2059960744,1924,1465,Hradec Kralove,CZE-VYC,Vychodocesky,EZ,Czech Republic,Provincial capital,95195,6,"50,000 to 99,999",0,0
99.3339992812,9.1349999232,1925,1958,Surat Thani,THA-STH,Surat Thani,TH,Thailand,Provincial capital,127201,5,"100,000 to 249,999",0,1
98.5339983185,8.4510000269,1926,1959,Phangnga,THA-PHN,Phangnga,TH,Thailand,Provincial capital,9676,7,"Less than 50,000",0,1
14.4569973167,50.105996947,1927,1466,Prague,CZE-STR,Stredocesky,EZ,Czech Republic,National and provincial capital,1165581,2,"1,000,000 to 4,999,999",0,0
98.3850032858,7.8769979461,1928,1960,Phuket,THA-PHK,Phuket,TH,Thailand,Provincial capital,89072,6,"50,000 to 99,999",49770,1
95.3333373324,5.5666620479,1929,1961,Banda Aceh,IDN-ACE,Aceh,ID,Indonesia,Provincial capital,250757,4,"250,000 to 499,999",0,0
16.6159984087,49.2029999479,1930,1467,Brno,CZE-JHM,Jihomoravsky,EZ,Czech Republic,Provincial capital,369559,4,"250,000 to 499,999",0,0
101.0760033962,4.5909990228,1931,1962,Ipoh,MYS-PER,Perak,MY,Malaysia,Provincial capital,673318,3,"500,000 to 999,999",0,0
14.4780033159,48.9740039914,1932,1468,Ceske Budejovice,CZE-JHC,Jihocesky,EZ,Czech Republic,Provincial capital,95245,6,"50,000 to 99,999",0,0
98.6760003428,3.5849970511,1933,1963,Medan,IDN-SUA,Sumatera Utara,ID,Indonesia,Provincial capital,1750971,2,"1,000,000 to 4,999,999",0,0
14.2939983948,48.2979959629,1934,1469,Linz,AUT-OBR,Oberosterreich,AU,Austria,Provincial capital,181162,5,"100,000 to 249,999",0,0
100.3110033859,5.3640000026,1935,1964,Pinang,MYS-PPN,Pulau Pinang,MY,Malaysia,Provincial capital,178304,5,"100,000 to 249,999",49850,0
16.5332972882,47.8332989832,1936,1470,Eisenstadt,AUT-BRG,Burgenland,AU,Austria,Provincial capital,-999,7,"Less than 50,000",0,0
99.9649984022,8.4220019944,1937,1965,Nakhon Si Thammarat,THA-NST,Nakhon Si Thammarat,TH,Thailand,Provincial capital,120836,5,"100,000 to 249,999",0,1
16.3209784439,48.2021190334,1938,1471,Vienna,AUT-WIE,Wien,AU,Austria,National capital and provincial capital enclave,1569316,2,"1,000,000 to 4,999,999",0,0
98.9119984093,8.0520030385,1939,1966,Krabi,THA-KRA,Krabi,TH,Thailand,Provincial capital,31219,7,"Less than 50,000",49780,1
13.3839992856,49.7459970103,1940,1472,Plzen,CZE-ZPD,Zapadocesky,EZ,Czech Republic,Provincial capital,164180,5,"100,000 to 249,999",0,0
100.080999303,7.6149989217,1941,1967,Phatthalung,THA-PHL,Phatthalung,TH,Thailand,Provincial capital,43522,7,"Less than 50,000",0,1
99.6149973191,7.5490020526,1942,1968,Trang,THA-TRN,Trang,TH,Thailand,Provincial capital,66713,6,"50,000 to 99,999",0,1
11.5429503874,48.1409729869,1943,1473,Munich,DEU-BYR,Bayern,GM,Germany,Other,1260391,2,"1,000,000 to 4,999,999",0,0
100.5930002831,7.1970029198,1944,1969,Songkhla,THA-SNG,Songkhla,TH,Thailand,Provincial capital,-999,7,"Less than 50,000",57434,1
13.0519983566,47.8080000069,1945,1474,Salzburg,AUT-SLZ,Salzburg,AU,Austria,Provincial capital,150269,5,"100,000 to 249,999",0,1
100.0666983706,6.6167010417,1946,1970,Satun,THA-SAT,Satun,TH,Thailand,Provincial capital,34544,7,"Less than 50,000",0,1
11.3499994196,47.2650029445,1947,1475,Innsbruck,AUT-TIR,Tirol,AU,Austria,Provincial capital,112467,5,"100,000 to 249,999",0,0
100.1899984247,6.4330019343,1948,1971,Kangar,MYS-PRL,Perlis,MY,Malaysia,Provincial capital,63869,6,"50,000 to 99,999",0,0
100.3619973409,6.1110000244,1949,1972,Alor Setar,MYS-KED,Kedah,MY,Malaysia,Provincial capital,217368,5,"100,000 to 249,999",49840,0
13.7770022904,45.6450029809,1950,1476,Trieste,ITA-FVG,Friuli-Venezia Giulia,IT,Italy,Provincial capital,211184,5,"100,000 to 249,999",40820,0
12.3707163638,45.4247730249,1951,1477,Venice,ITA-VEN,Veneto,IT,Italy,Other,270816,4,"250,000 to 499,999",40760,0
91.8250023425,22.3299990041,1952,1973,Chittagong,BGD-CHT,Chittagong,BG,Bangladesh,Provincial capital,3920222,2,"1,000,000 to 4,999,999",49590,1
94.9179963504,20.1400019953,1953,1974,Magway,MMR-MAG,Magwe,BM,Myanmar,Provincial capital,96954,6,"50,000 to 99,999",0,0
14.4333003877,45.3332969678,1954,1478,Rijeka,HRV,Croatia,HR,Croatia,Other,141172,5,"100,000 to 249,999",41010,0
92.8950032991,20.1390029705,1955,1975,Sittwe,MMR-AST,Arakan State,BM,Myanmar,Provincial capital,177743,5,"100,000 to 249,999",49620,0
96.1248873755,16.8722279529,1956,1976,Rangoon,MMR-RNG,Rangoon,BM,Myanmar,National and provincial capital,4477638,2,"1,000,000 to 4,999,999",49650,1
16.6220013284,47.2359959758,1957,1479,Szombathely,HUN-VAS,Vas,HU,Hungary,Provincial capital,79534,6,"50,000 to 99,999",0,0
15.4310043468,47.064995919,1958,1480,Graz,AUT-STR,Steiermark,AU,Austria,Provincial capital,222326,5,"100,000 to 249,999",0,0
97.6167003871,16.8499980365,1959,1977,Pa-an,MMR-KSA,Karen State,BM,Myanmar,Provincial capital,-999,7,"Less than 50,000",0,0
16.8399994064,46.844000932,1960,1481,Zalaegerszeg,HUN-ZAL,Zala,HU,Hungary,Provincial capital,61898,6,"50,000 to 99,999",0,0
94.7320023157,16.7740019828,1961,1978,Bassein,MMR-IRR,Irrawaddy,BM,Myanmar,Provincial capital,237089,5,"100,000 to 249,999",49640,0
14.3039974139,46.6180020501,1962,1482,Klagenfurt,AUT-KRN,Karnten,AU,Austria,Provincial capital,90610,6,"50,000 to 99,999",0,0
97.6450323479,16.4926799279,1963,1979,Moulmein,MMR-MST,Mon State,BM,Myanmar,Provincial capital,438861,4,"250,000 to 499,999",49660,0
98.2019973895,14.0840010628,1964,1980,Tavoy,MMR-TNS,Tenasserim,BM,Myanmar,Provincial capital,136783,5,"100,000 to 249,999",49680,0
14.6396073761,46.0682999208,1965,1483,Ljubljana,SVN,Slovenia,SI,Slovenia,National capital,255115,4,"250,000 to 499,999",0,0
